4.12,6.8024
4.16,6.1806
4.2,7.154
4.24,6.0785
4.28,6.5379
4.32,7.5135
4.36,7.0768
4.4,7.2081
4.44,7.4025
4.48,6.9218
4.52,6.384
4.56,6.9637
4.6,4.9844
4.64,4.0252
4.68,3.7099
4.72,4.1908
4.76,4.3397
4.8,4.5518
4.84,5.0554
4.88,4.8642
4.92,2.5679
4.96,5.9675
5,5.7538
5.04,4.9485
5.08,2.8205
5.12,5.8445
5.16,4.6658
5.2,5.4204
5.24,5.6844
5.28,5.6601
5.32,5.753
5.36,5.8376
5.4,5.7472
5.44,5.7436
5.48,5.8217
5.52,5.8246
5.56,5.7561
5.6,5.8634
5.64,6.0268
5.68,6.1298
5.72,5.9097
5.76,6.0645
5.8,6.3991
5.84,6.276
5.88,6.3784
5.92,6.4235
5.96,6.4875
6,2.3776
6.04,5.3012
6.08,6.6044
6.12,6.5485
6.16,6.3252
6.2,6.4192
6.24,6.374
6.28,6.3268
6.32,6.2661
6.36,6.1639
6.4,6.1688
6.44,6.1612
6.48,6.1153
6.52,6.1909
6.56,5.9685
6.6,5.7605
6.64,5.6615
6.68,5.6872
6.72,5.6107
6.76,5.7874
6.8,5.7103
6.84,5.5784
6.88,5.5949
6.92,5.6465
6.96,5.5574
7,5.5886
7.04,5.6173
7.08,5.5321
7.12,5.533
7.16,5.422
7.2,5.3303
7.24,5.3852
7.28,5.3287
7.32,5.3951
7.36,5.4703
7.4,5.5061
7.44,5.4323
7.48,5.4954
7.52,5.5505
7.56,5.4618
7.6,5.3959
7.64,5.3884
7.68,5.2026
7.72,4.8745
7.76,4.7421
7.8,4.8825
7.84,5.4153
7.88,5.6197
7.92,6.0494
7.96,6.0702
8,6.1121
8.04,6.0782
8.08,6.0738
8.12,5.9957
8.16,4.6665
8.2,5.1995
8.24,5.6311
8.28,5.0527
8.32,4.8051
8.36,4.7061
8.4,4.7452
8.44,4.454
8.48,4.3292
8.52,4.2434
8.56,4.1388
8.6,4.2675
8.64,4.1905
8.68,4.0222
8.72,4.0426
8.76,4.084
8.8,3.9543
8.84,4.0402
8.88,4.0267
8.92,3.9952
8.96,3.8061
9,3.7805
9.04,3.7889
9.08,3.7361
9.12,3.7322
9.16,3.7152
9.2,3.6161
9.24,3.5265
9.28,3.6442
9.32,3.6132
9.36,3.5307
9.4,3.5661
9.44,3.6417
9.48,3.5632
9.52,3.5448
9.56,3.5987
9.6,3.7184
9.64,3.794
9.68,3.8251
9.72,3.8794
9.76,3.8175
9.8,3.8209
9.84,3.7189
9.88,3.7229
9.92,3.6827
9.96,3.7261
10,3.7015
10.04,3.7337
10.08,3.7332
10.12,3.7402
10.16,3.7721
10.2,3.7686
10.24,3.8905
10.28,5.4964
10.32,3.9254
10.36,3.8985
